"","lhs","rhs","support","confidence"
"1","{jquery}","{java}",0.0545454545454545,0.611111111111111
"2","{jquery}","{c#}",0.0652892561983471,0.731481481481482
"3","{css}","{c++}",0.056198347107438,0.601769911504425
"4","{css}","{java}",0.0586776859504132,0.628318584070796
"5","{css}","{c#}",0.0636363636363636,0.68141592920354
"6","{mysql}","{c#}",0.11404958677686,0.737967914438503
"7","{html}","{c#}",0.13801652892562,0.695833333333333
"8","{php}","{c#}",0.165289256198347,0.664451827242525
"9","{python}","{c#}",0.180165289256198,0.685534591194969
"10","{c++}","{c#}",0.223140495867769,0.626450116009281
"11","{c++,css}","{c#}",0.0512396694214876,0.911764705882353
"12","{c#,css}","{c++}",0.0512396694214876,0.805194805194805
"13","{html,mysql}","{java}",0.0504132231404959,0.897058823529412
"14","{html,mysql}","{c#}",0.0528925619834711,0.941176470588235
"15","{mysql,php}","{c++}",0.0545454545454545,0.776470588235294
"16","{c++,mysql}","{php}",0.0545454545454545,0.694736842105263
"17","{mysql,php}","{java}",0.0586776859504132,0.835294117647059
"18","{java,mysql}","{php}",0.0586776859504132,0.645454545454546
"19","{mysql,php}","{c#}",0.0619834710743802,0.882352941176471
"20","{mysql,python}","{c++}",0.0504132231404959,0.717647058823529
"21","{c++,mysql}","{python}",0.0504132231404959,0.642105263157895
"22","{mysql,python}","{java}",0.0603305785123967,0.858823529411765
"23","{java,mysql}","{python}",0.0603305785123967,0.663636363636364
"24","{mysql,python}","{c#}",0.0644628099173554,0.917647058823529
"25","{c++,mysql}","{java}",0.0661157024793388,0.842105263157895
"26","{java,mysql}","{c++}",0.0661157024793388,0.727272727272727
"27","{c++,mysql}","{c#}",0.0702479338842975,0.894736842105263
"28","{c#,mysql}","{c++}",0.0702479338842975,0.615942028985507
"29","{java,mysql}","{c#}",0.0818181818181818,0.9
"30","{c#,mysql}","{java}",0.0818181818181818,0.717391304347826
"31","{html,php}","{python}",0.056198347107438,0.653846153846154
"32","{html,python}","{php}",0.056198347107438,0.660194174757282
"33","{html,php}","{c++}",0.0677685950413223,0.788461538461538
"34","{c++,html}","{php}",0.0677685950413223,0.625954198473282
"35","{html,php}","{java}",0.0677685950413223,0.788461538461538
"36","{html,java}","{php}",0.0677685950413223,0.602941176470588
"37","{html,php}","{c#}",0.0743801652892562,0.865384615384615
"38","{html,python}","{c++}",0.0603305785123967,0.70873786407767
"39","{html,python}","{java}",0.068595041322314,0.805825242718447
"40","{html,java}","{python}",0.068595041322314,0.610294117647059
"41","{html,python}","{c#}",0.0760330578512397,0.893203883495146
"42","{c++,html}","{java}",0.0809917355371901,0.748091603053435
"43","{html,java}","{c++}",0.0809917355371901,0.720588235294118
"44","{c++,html}","{c#}",0.0851239669421488,0.786259541984733
"45","{c#,html}","{c++}",0.0851239669421488,0.616766467065868
"46","{html,java}","{c#}",0.0958677685950413,0.852941176470588
"47","{c#,html}","{java}",0.0958677685950413,0.694610778443114
"48","{php,python}","{c++}",0.0702479338842975,0.745614035087719
"49","{php,python}","{java}",0.0735537190082645,0.780701754385965
"50","{php,python}","{c#}",0.084297520661157,0.894736842105263
"51","{c++,php}","{java}",0.0925619834710744,0.708860759493671
"52","{java,php}","{c++}",0.0925619834710744,0.654970760233918
"53","{c++,php}","{c#}",0.107438016528926,0.822784810126582
"54","{c#,php}","{c++}",0.107438016528926,0.65
"55","{java,php}","{c#}",0.109090909090909,0.771929824561403
"56","{c#,php}","{java}",0.109090909090909,0.66
"57","{c++,python}","{java}",0.0925619834710744,0.767123287671233
"58","{java,python}","{c++}",0.0925619834710744,0.625698324022346
"59","{c++,python}","{c#}",0.103305785123967,0.856164383561644
"60","{java,python}","{c#}",0.116528925619835,0.787709497206704
"61","{c#,python}","{java}",0.116528925619835,0.646788990825688
"62","{c++,java}","{c#}",0.145454545454545,0.778761061946903
"63","{c#,c++}","{java}",0.145454545454545,0.651851851851852
"64","{html,java,mysql}","{c#}",0.0504132231404959,1
"65","{c#,html,mysql}","{java}",0.0504132231404959,0.953125
"66","{c#,java,mysql}","{html}",0.0504132231404959,0.616161616161616
"67","{c++,mysql,php}","{c#}",0.0520661157024793,0.954545454545455
"68","{c#,mysql,php}","{c++}",0.0520661157024793,0.84
"69","{c#,c++,mysql}","{php}",0.0520661157024793,0.741176470588235
"70","{java,mysql,php}","{c#}",0.0570247933884298,0.971830985915493
"71","{c#,mysql,php}","{java}",0.0570247933884298,0.92
"72","{c#,java,mysql}","{php}",0.0570247933884298,0.696969696969697
"73","{c++,mysql,python}","{c#}",0.0504132231404959,1
"74","{c#,mysql,python}","{c++}",0.0504132231404959,0.782051282051282
"75","{c#,c++,mysql}","{python}",0.0504132231404959,0.717647058823529
"76","{java,mysql,python}","{c#}",0.059504132231405,0.986301369863014
"77","{c#,mysql,python}","{java}",0.059504132231405,0.923076923076923
"78","{c#,java,mysql}","{python}",0.059504132231405,0.727272727272727
"79","{c++,java,mysql}","{c#}",0.0661157024793388,1
"80","{c#,c++,mysql}","{java}",0.0661157024793388,0.941176470588235
"81","{c#,java,mysql}","{c++}",0.0661157024793388,0.808080808080808
"82","{html,php,python}","{java}",0.0512396694214876,0.911764705882353
"83","{html,java,php}","{python}",0.0512396694214876,0.75609756097561
"84","{html,java,python}","{php}",0.0512396694214876,0.746987951807229
"85","{java,php,python}","{html}",0.0512396694214876,0.696629213483146
"86","{html,php,python}","{c#}",0.0545454545454545,0.970588235294118
"87","{c#,html,php}","{python}",0.0545454545454545,0.733333333333333
"88","{c#,html,python}","{php}",0.0545454545454545,0.717391304347826
"89","{c#,php,python}","{html}",0.0545454545454545,0.647058823529412
"90","{c++,html,php}","{java}",0.059504132231405,0.878048780487805
"91","{html,java,php}","{c++}",0.059504132231405,0.878048780487805
"92","{c++,html,java}","{php}",0.059504132231405,0.73469387755102
"93","{c++,java,php}","{html}",0.059504132231405,0.642857142857143
"94","{c++,html,php}","{c#}",0.0619834710743802,0.914634146341463
"95","{c#,html,php}","{c++}",0.0619834710743802,0.833333333333333
"96","{c#,c++,html}","{php}",0.0619834710743802,0.728155339805825
"97","{html,java,php}","{c#}",0.0636363636363636,0.939024390243902
"98","{c#,html,php}","{java}",0.0636363636363636,0.855555555555556
"99","{c#,html,java}","{php}",0.0636363636363636,0.663793103448276
"100","{c++,html,python}","{java}",0.056198347107438,0.931506849315068
"101","{html,java,python}","{c++}",0.056198347107438,0.819277108433735
"102","{c++,html,java}","{python}",0.056198347107438,0.693877551020408
"103","{c++,java,python}","{html}",0.056198347107438,0.607142857142857
"104","{c++,html,python}","{c#}",0.0570247933884298,0.945205479452055
"105","{c#,html,python}","{c++}",0.0570247933884298,0.75
"106","{c#,c++,html}","{python}",0.0570247933884298,0.669902912621359
"107","{html,java,python}","{c#}",0.0661157024793388,0.963855421686747
"108","{c#,html,python}","{java}",0.0661157024793388,0.869565217391304
"109","{c#,html,java}","{python}",0.0661157024793388,0.689655172413793
"110","{c++,html,java}","{c#}",0.0735537190082645,0.908163265306122
"111","{c#,c++,html}","{java}",0.0735537190082645,0.864077669902913
"112","{c#,html,java}","{c++}",0.0735537190082645,0.767241379310345
"113","{c++,php,python}","{java}",0.0628099173553719,0.894117647058824
"114","{java,php,python}","{c++}",0.0628099173553719,0.853932584269663
"115","{c++,java,php}","{python}",0.0628099173553719,0.678571428571429
"116","{c++,java,python}","{php}",0.0628099173553719,0.678571428571429
"117","{c++,php,python}","{c#}",0.0694214876033058,0.988235294117647
"118","{c#,php,python}","{c++}",0.0694214876033058,0.823529411764706
"119","{c#,c++,php}","{python}",0.0694214876033058,0.646153846153846
"120","{c#,c++,python}","{php}",0.0694214876033058,0.672
"121","{java,php,python}","{c#}",0.0710743801652893,0.966292134831461
"122","{c#,php,python}","{java}",0.0710743801652893,0.843137254901961
"123","{c#,java,php}","{python}",0.0710743801652893,0.651515151515151
"124","{c#,java,python}","{php}",0.0710743801652893,0.609929078014184
"125","{c++,java,php}","{c#}",0.0867768595041322,0.9375
"126","{c#,c++,php}","{java}",0.0867768595041322,0.807692307692308
"127","{c#,java,php}","{c++}",0.0867768595041322,0.795454545454545
"128","{c++,java,python}","{c#}",0.087603305785124,0.946428571428571
"129","{c#,c++,python}","{java}",0.087603305785124,0.848
"130","{c#,java,python}","{c++}",0.087603305785124,0.75177304964539
"131","{c#,c++,java}","{python}",0.087603305785124,0.602272727272727
"132","{html,java,php,python}","{c#}",0.0504132231404959,0.983870967741935
"133","{c#,html,php,python}","{java}",0.0504132231404959,0.924242424242424
"134","{c#,html,java,php}","{python}",0.0504132231404959,0.792207792207792
"135","{c#,html,java,python}","{php}",0.0504132231404959,0.7625
"136","{c#,java,php,python}","{html}",0.0504132231404959,0.709302325581395
"137","{c++,html,java,php}","{c#}",0.056198347107438,0.944444444444444
"138","{c#,c++,html,php}","{java}",0.056198347107438,0.906666666666667
"139","{c#,html,java,php}","{c++}",0.056198347107438,0.883116883116883
"140","{c#,c++,html,java}","{php}",0.056198347107438,0.764044943820225
"141","{c#,c++,java,php}","{html}",0.056198347107438,0.647619047619048
"142","{c++,html,java,python}","{c#}",0.0537190082644628,0.955882352941177
"143","{c#,c++,html,python}","{java}",0.0537190082644628,0.942028985507246
"144","{c#,html,java,python}","{c++}",0.0537190082644628,0.8125
"145","{c#,c++,html,java}","{python}",0.0537190082644628,0.730337078651685
"146","{c#,c++,java,python}","{html}",0.0537190082644628,0.613207547169811
"147","{c++,java,php,python}","{c#}",0.0619834710743802,0.986842105263158
"148","{c#,c++,php,python}","{java}",0.0619834710743802,0.892857142857143
"149","{c#,java,php,python}","{c++}",0.0619834710743802,0.872093023255814
"150","{c#,c++,java,php}","{python}",0.0619834710743802,0.714285714285714
"151","{c#,c++,java,python}","{php}",0.0619834710743802,0.707547169811321
