"","Post.Val","PostMonth","PostCount","Title"
"9","High",3,2900.94,"How to use the C socket API in C++ on z/OS"
"26","Low",8,86.4,"GTK implementation of MessageBox"
"27","Low",5,65.32,"BerkeleyDB Concurrency"
"30","Low",10,297.92,"Should I use nested classes in this case?"
"42","Low",5,398.37,"Build for Windows NT 4.0 using Visual Studio 2005?"
"63","Low",7,116.64,"Easy-to-Use Regular Expression Support in C++?"
"64","Low",6,309.65,"Heap corruption under Win32; how to locate?"
"65","Low",1,204.18,"Ensuring that Exceptions are always Caught"
"90","High",8,4511.36,"CPU throttling in C++"
"111","High",12,3024.25,"Lightweight IDE for Linux"
"128","Low",4,260.82,"How to set up unit testing for Visual Studio C++"
"131","High",10,1450.68,"How do you pack a visual studio c++ project for release?"
"132","High",10,5813.32,"C/C++ library for reading MIDI signals from a USB MIDI device"
"160","Low",9,137.04,"What is the best way to create a sparse array in C++?"
"208","High",8,2699.73,"What are the barriers to understanding pointers and what can be done to overcome them?"
"216","High",6,10180.2,"Link issues (VC6)"
"247","High",8,17807.04,"Thread safe lazy construction of a singleton in C++"
"256","Low",3,154.38,"Alpha blending sprites in Nintendo DS Homebrew"
"265","Low",4,50.2,"How do I make a GUI?"
"267","Low",3,270,"Of Memory Management, Heap Corruption, and C++"
"272","High",11,7727.04,"Windows C++: How can I redirect stderr for calls to fprintf?"
"279","Low",8,206.28,"How do you open a file in C++?"
"291","High",7,1897.98,"I can't get my debugger to stop breaking on first-chance exceptions"
"296","Low",1,74.21,"MSVC6: Breakpoint stops program - WTF?"
"298","Low",10,106.11,"Secure Memory Allocator in C++"
"311","High",2,743.5,"Should I move from C++ to Python? ... Or another language?"
"334","Low",1,367.54,"How do you create a static class in C++?"
"342","High",9,1210.26,"any good tool for makefile generation?"
"344","Low",2,559.8,"Playing wave file ends immediately (C++, Windows)"
"346","Low",5,390.72,"Validating a Win32 Window Handle"
"351","High",11,2674.67,"Generic iterator"
"353","High",6,4919.6,"Removing icon from Windows title bars without ditching close button or system menu?"
"377","High",2,1289.85,"Any good advice on using emacs for C++ project?"
"383","Low",12,100.1,"How to prevent an object being created on the heap?"
"385","Low",7,195.4,"How should I unit test a code-generator?"
"387","High",3,2519.16,"In C++/Windows how do I get the network name of the computer I'm on?"
"394","High",4,1319.8,"GCC problem : using a member of a base class that depends on a template argument"
"396","Low",5,362.78,"String To Lower/Upper in C++"
"400","High",6,917.46,"How to overload std::swap()"
"403","High",5,2365.78,"Case insensitive string comparison in C++"
"410","Low",10,34.08,"Inheritance and Polymorphism - Ease of use vs Purity"
"420","High",11,9796.8,"_wfopen equivalent under Mac OS X"
"421","Low",7,98.31,"In a C/C++ program how does the system (windows, linux, mac OS X) call the main() function"
"426","Low",6,49.13,"Windows/C++: How do I determine the share name associated with a shared drive?"
"428","High",5,2016,"What is the easiest way to parse an INI File in C++?"
"448","Low",4,78.6,"How to combine several C/C++ libraries into one?"
"457","High",2,744.24,"How does one rank an array (sort) by value? *With a twist*"
"462","Low",8,300.98,"GUI system development resources?"
"472","High",2,2856.81,"Any windows apis to get file handles besides createfile and openfile?"
"480","Low",7,8.32,"How to create a C++ Boost undirected graph and traverse it in depth first search (DFS) order?"
"481","Low",7,252.72,"Strange C++ errors with code that has min()/max() calls"
"482","Low",7,324.9,"Boost warnings with VC++ 9"
"491","Low",9,87.71,"How can an MFC application terminate itself?"
"513","High",5,717.36,"How do you create a debug only function that takes a variable argument list? Like printf()"
"514","High",4,1457.28,"Can placement new for arrays be used in a portable way?"
"519","Low",7,460,"DLL plugin that creates a parented window doesn't handle messages correctly"
"524","High",10,12039.2,"Using Visual Studio to develop for C++ for Unix"
"550","High",8,834.68,"Good refactoring support for C++"
"577","High",10,6692.54,"C++ std::tr2 for VS2005"
"581","High",6,989.85,"Test Cases VS ASSERTION statement"
"582","Low",8,113.62,"What tools do you use to develop C++ applications on Linux?"
"586","Low",9,103.6,"How can I sort an array of double pointers based on the values they point to?"
"587","High",3,2525.88,"Most effective way for float and double comparison"
"592","High",12,1143.36,"When should you use 'friend' in C++?"
"593","Low",3,75.36,"Is there a way to prevent a method from being overridden in subclasses?"
"600","High",5,679.32,"Suitable alternative to CryptEncrypt"
"605","High",11,679.32,"Warning C4341 - 'XX': signed value is out of range for enum constant"
"609","High",5,2649.68,"Using an ocx in a console application"
"636","Low",12,162,"How to install a plugin for QtWebKit"
"638","High",12,22799.62,"How to match linux device path to windows drive name?"
"646","Low",12,102.24,"How to make a tree in C++?"
"698","Low",9,53.69,"How do you clear a stringstream variable?"
"701","High",1,666.9,"When to use STL bitsets instead of separate variables?"
"718","High",9,1076.02,"In C++ can constructor and destructor be inline functions?"
"723","High",1,14624.82,"In C++, what is a virtual base class?"
"724","Low",12,272.16,"What is the difference between #include <filename> and #include ""filename""?"
"725","High",2,4776.66,"Reading from text file until EOF repeats last line"
"743","High",10,2183.86,"Why does int main() {} compile?"
"751","High",2,818.22,"Implementing a log watcher"
"755","High",7,1639.2,"memset() causing data abort"
"768","Low",1,152.64,"What is the best way to communicate with a MySQL server?"
"776","Low",7,92.82,"How Does One Sum Dimensions of an Array Specified at Run-Time?"
"777","High",7,9647.52,"Find out which process has an exclusive lock on a USB device handle"
"778","High",7,1567.92,"C++ linker unresolved external symbols"
"793","Low",6,70.02,"OpenGL Rotation"
"795","Low",11,151.8,"C++ IDE for Linux?"
"799","High",3,1333.71,"Simple Frameworks for Displaying Bitmaps and Handling Button Presses"
"801","High",6,4645.08,"“rusage” statistics"
"802","Low",6,86.7,"Use QItemDelegate to show image thumbnails"
"810","Low",7,326.6,"Using bitwise operators for Booleans in C++"
"822","Low",2,20.8,"What's a good linux C/C++ IDE for a low-res screen?"
"824","Low",11,406.41,"Is there a performance difference between i++ and ++i in C++?"
"828","Low",8,58.32,"Is there a functional language for C++ ecosystem?"
"853","Low",11,110.16,"interfacing with stdbool.h C++"
"862","Low",9,138.72,"What is the best free memory leak detector for a C/C++ program and its plug-in DLLs?"
"866","Low",7,176.25,"Output compile time stamp in Visual C++ executable?"
"870","High",3,741.78,"What toolchains exist for Continuous Integration with C++?"
"876","High",8,919.08,"Overloaded functions in C++ DLL def file"
"880","High",10,804.3,"Template typedefs - What's your work around?"
"891","High",1,679.66,"RSS Feed Library for (Unmanaged) C++"
"901","High",2,826.28,"What's your favorite profiling tool (for C++)"
"923","High",12,717.8,"How to convert std::string to LPCWSTR in C++ (Unicode)"
"927","High",2,680.56,"Could you recommend some guides about Epoll on Linux"
"935","Low",12,198.56,"C++ Memory management"
"944","Low",3,422.43,"Is this code an abuse of STL's find_if?"
"946","Low",12,542.94,"Integrating Qt into legacy MFC applications"
"949","High",6,27599.54,"C++ : Opening a file in non exclusive mode"
"954","High",1,1569.6,"MFC resources / links"
"956","Low",4,194.4,"c/c++ source code visualization?"
"959","High",9,3869.55,"Exporting a C++ class from a DLL"
"960","High",9,1141.92,"Regular cast vs. static_cast vs. dynamic_cast"
"961","Low",8,209.4,"How bad is dynamic casting?"
"964","High",3,927.92,"calculating user defined formulas (with c++)"
"965","High",5,12824.1,"Multiple classes in a header file vs. a single header file per class"
"969","Low",12,68.48,"How can I convert types in C++?"
"971","High",12,15695.77,"Exception analysis tool for C++"
"981","Low",11,73.32,"C on Visual Studio"
"1004","Low",3,47.97,"Off-the-Shelf C++ Hex Dump Code"
"1011","Low",11,377.44,"Converting bool to text in C++"
"1037","Low",12,63.92,"How to get your own (local) IP-Address from an udp-socket (C/C++)"
"1044","Low",7,259.2,"C++ - What does ""Stack automatic"" mean?"
"1059","Low",9,155.52,"What C++ pitfalls should I avoid?"
"1064","Low",5,272.16,"Qt Child Window Placement"
"1078","High",5,849.5,"using too much static bad or good?"
"1115","Low",1,314.25,"Are there any examples where we *need* protected inheritance in C++?"
"1119","High",1,5672.55,"A more generic visitor pattern"
"1130","Low",5,131.94,"C++ cast syntax styles"
"1135","Low",5,51.6,"Why don't the std::fstream classes take a std::string?"
"1166","Low",10,433.02,"How can I measure CppUnit test coverage (on win32 and Unix)?"
"1178","Low",10,351.56,"C++ STL question: allocators"
"1206","Low",3,276.36,"How to read a value from the Windows registry"
"1210","Low",6,258.23,"Which, if any, C++ compilers do tail-recursion optimization?"
"1214","Low",8,274.08,"C++ Thread question - setting a value to indicate the thread has finished"
"1218","Low",9,43.2,"64bit Memory allocation"
"1220","Low",9,329.56,"Should I use a cross-platform GUI-toolkit or rely on the native ones?"
"1231","Low",9,215.68,"Simulating a virtual static member of a class in c++?"
"1234","Low",9,223.98,"Detect DOM modification in Internet Explorer"
"1244","High",8,831.76,"How do I list the symbols in a .so file"
"1254","High",11,7727.04,"Best practices for debugging linking errors"
"1255","Low",4,33.88,"How to declare an array of strings in C++?"
"1275","Low",9,85.2,"Linux: What is the best way to estimate the code & static data size of program?"
"1279","Low",10,26.72,"looping and average in c++"
"1289","Low",7,327.56,"Linux GUI development"
"1301","Low",6,239.04,"I don't understand std::tr1::unordered_map"
"1304","Low",8,33.93,"Templates spread across multiple files"
"1306","High",8,1049.5,"Finding out the source of an exception in C++ after it is caught?"
"1309","High",10,1799.82,"Variable Holding data in a while statement"
"1332","High",8,5923.6,"Changing a CORBA interface without recompiling"
"1336","Low",8,588.69,"Do you have to register a Dialog Box?"
"1340","Low",2,69.72,"Task oriented thread pooling"
"1356","Low",7,201.6,"Why can't a forward declaration be used for a std::vector?"
"1358","High",3,8562.2,"How do I make a fully statically linked .exe with Visual Studio Express 2005?"
"1359","High",2,1289.85,"Get back to basics. How do I get back into C++?"
"1361","High",12,791.88,"How can I assert() without using abort()?"
"1374","High",2,860.58,"GCOV for multi-threaded apps"
"1381","Low",3,55.99,"C++ : What's the easiest library to open video file"
"1386","High",5,3947.72,"C++: How to extract a string from rapidxml"
"1395","Low",6,134.89,"Tutorial on understanding strings in Symbian"
"1403","Low",7,98.31,"Asynchronous Mysql connector"
"1404","High",3,1585.48,"Are there any good C++ Mock object frameworks?"
"1405","High",2,727.25,"Thread pool for executing arbitrary tasks with different priorities"
"1419","High",10,1266.72,"Best full text search alternative to ms sql, c++ solution"
"1423","Low",11,589.44,"How to take screenshot in Mac OS X using Cocoa or C++"
"1429","Low",4,45.29,"Tool to check Doxygen markup is up to date"
"1433","Low",2,238.21,"Very simple C++ DLL that can be called from .net"
"1444","Low",8,300.98,"Do C++ logging frameworks sacrifice reusability?"
"1449","Low",11,185.38,"Visual C++: How large is a DWORD with 32- and 64-bit code?"
"1451","High",2,721.24,"Calling DLL functions from VB6"
"1452","High",9,1362.53,"How to get intellisense to reliably work in Visual Studio 2008"
"1454","High",2,2856.81,"Error handling / error logging in C++ for library/app combo"
"1459","High",12,765.02,"qt-Qt x11 for Mac"
"1467","High",12,10520.58,"How do I remove an item from a stl vector with a certain value?"
"1487","High",12,1690.2,"How would you implement Erlang-like send and receive in C++?"
"1511","Low",9,58.86,"Can I have polymorphic containers with value semantics in C++?"
"1522","Low",12,595.7,"How to wrap a function with variable length arguments?"
"1527","High",3,1679.58,"How can I add reflection to a C++ application?"
"1536","Low",8,248.54,"How to do a sample rate conversion in Windows (and OSX)"
"1537","High",4,4229.4,"How do you properly use namespaces in C++?"
"1541","High",8,9807.75,"C++ libraries to manipulate images"
"1544","Low",10,539.73,"Is there a way of getting the process id of my C++ application?"
"1549","High",1,911.62,"Maintain the correct version for a COM dll referenced in a .NET project"
"1561","Low",7,442.64,"C++ Compiler Error C2371 - Redefinition of WCHAR"
"1572","High",12,8101.44,"Tool to track #include dependencies"
"1577","Low",12,144.3,"How do I Convert an IntPtr to a Stream?"
"1581","Low",5,278.82,"How do I call ::CreateProcess in c++ to launch a Windows executable?"
"1590","High",6,7963.12,"Writing/Using C++ Libraries"
"1605","High",3,6863.61,"Mixing C/C++ Libraries"
"1608","Low",7,130.68,"Measuring exception handling overhead in C++"
"1613","Low",3,28.9,"What's safe for a C++ plug-in system?"
"1634","High",12,2516.4,"VS.Net 2005 required on Build box with .Net 2.0 C++ Projects?"
"1668","Low",3,356.12,"Efficieint alternatives for exposing a Collection"
"1674","High",5,1516.26,"Default smart device project can't find dependencies"
"1694","Low",1,194.22,"Why does the order in which libraries are linked sometimes cause errors in GCC?"
"1700","High",9,1076.02,"How can I overwrite the same portion of the console in a Windows native C++ console app, without using a 3rd Party library?"
"1715","High",2,960.38,"Simplest way to change listview and treeview colours"
"1725","High",10,2183.86,"How do you detect/avoid Memory leaks in your (Unmanaged) code?"
"1726","High",7,6760.95,"How do I retrieve IPIEHTMLDocument2 interface on IE Mobile"
"1737","High",7,1639.2,"mmap() vs. reading blocks"
"1802","Low",6,37.94,"Where's the Win32 resource for the mouse cursor for dragging splitters?"
"1813","High",1,1219.9,"Is there a way to parse a dependency tree from a build script output?"
"1821","High",6,5455.69,"Can UDP data be delivered corrupted?"
"1824","High",1,1400.24,"Is it possible to develop DirectX apps in Linux?"
"1825","Low",10,94.5,"Deciphering C++ template error messages"
"1826","Low",10,340.07,"How do you set, clear and toggle a single bit in C/C++?"
"1829","Low",9,274.35,"What is a jump table?"
"1830","Low",9,91.35,"Is there an alternative to using % (modulus) in C/C++?"
"1833","Low",3,505.08,"C++ deleting a pointer to a pointer"
"1850","High",11,1847.72,"C++ UI resources"
"1852","High",3,741.78,"Am I allowed to run a javascript runtime (like v8) on the iPhone?"
"1856","High",10,5327.04,"Eclipse spelling engine does not exist"
"1857","High",8,1350.44,"What's the best tool to graphically display memory layout from a .map file?"
"1862","High",10,804.3,"How to teach a crash course on C++?"
"1867","Low",5,261.45,"Does ScopeGuard use really lead to better code?"
"1885","High",3,1463.52,"What does the const operator mean when used with a method in C++?"
"1886","High",3,5417.57,"Different sizeof results"
"1888","High",3,1933.4,"Can cout alter variables somehow?"
"1889","High",3,1515.85,"Calling python from a c++ program for distribution"
"1895","High",6,3143.52,"How can I embed Perl inside a C++ application?"
"1898","High",5,3403.08,"How can I use a key blob generated from Win32 CryptoAPI in my .NET application?"
"1901","Low",1,160.98,"What is the cleanest way to direct wxWidgets to always use wxFileConfig?"
"1913","High",2,733.65,"How does one decrypt a PDF with an owner password, but no user password?"
"1918","Low",7,47.97,"64 bit tools like BoundsChecker & Purify"
"1933","High",6,719.57,"Database abstraction layers for (Visual) C++"
"1941","High",9,3869.55,"create and stream large XML document in C++"
